id,clazz,type,kind
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.org.ensime.core.RichPresentationCompiler#(ec)","_root_.scala.concurrent.ExecutionContext#","ExecutionContext","val"
"_root_.org.ensime.core.RichCompilerControl#charset()Ljava/nio/charset/Charset;.","_root_.java.nio.charset.Charset#","Charset","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.concurrent.ExecutionContext.Implicits.global.","_root_.scala.concurrent.ExecutionContext#","ExecutionContext","val"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.org.ensime.indexer.FileWatcherSpec#DefaultCharset.","_root_.java.nio.charset.Charset#","Charset","val"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
"_root_.org.ensime.core.Project#(config)","_root_.org.ensime.api.EnsimeConfig#","EnsimeConfig","val"
"_root_.org.ensime.core.Project#(serverConfig)","_root_.org.ensime.api.EnsimeServerConfig#","EnsimeServerConfig","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.org.ensime.core.Project#vfs.","_root_.org.ensime.vfs.package.EnsimeVFS#","EnsimeVFS","val"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.org.ensime.indexer.ClassfileWatcher#(vfs)","_root_.org.ensime.vfs.package.EnsimeVFS#","EnsimeVFS","<unknown:Denotation(IMPLICIT|PARAM,'vfs','EnsimeVFS')>"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.org.ensime.indexer.IndexService#(ec)","_root_.scala.concurrent.ExecutionContext#","ExecutionContext","<unknown:Denotation(IMPLICIT|PARAM,'ec','ExecutionContext')>"
"_root_.scala.Predef.augmentString(Ljava/lang/String;)Ljava/lang/String;.","_root_.scala.Predef.String#","(x:String):StringOps","def"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.org.ensime.core.RichCompilerControl#charset()Ljava/nio/charset/Charset;.","_root_.java.nio.charset.Charset#","Charset","def"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.org.ensime.indexer.lucene.SimpleLucene#executionContext.","_root_.scala.concurrent.ExecutionContextExecutorService#","ExecutionContextExecutorService","val"
"_root_.scala.Predef.$conforms()Lscala/Predef/$less$colon$less;.","_root_.scala.Predef.`<:<`#","[A]=><:<[A,A]","def"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.akka.actor.ActorContext#dispatcher()Lscala/concurrent/ExecutionContextExecutor;.","_root_.scala.concurrent.ExecutionContextExecutor#","ExecutionContextExecutor","def"
"_root_.org.ensime.core.Indexer#(vfs)","_root_.org.ensime.vfs.package.EnsimeVFS#","EnsimeVFS","val"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.org.ensime.core.debug.DebugActor#(search)","_root_.org.ensime.indexer.SearchService#","SearchService","val"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.scala.Predef.refArrayOps([Ljava/lang/Object;)[Ljava/lang/Object;.","_root_.scala.Array#","[T]=>(xs:Array[T]):ofRef[T]","def"
"_root_.org.ensime.util.ensimefile.package.Implicits.DefaultCharset.","_root_.java.nio.charset.Charset#","Charset","val"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.akka.actor.ActorContext#system()Lakka/actor/ActorSystem;.","_root_.akka.actor.ActorSystem#","ActorSystem","def"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.org.ensime.util.ensimefile.package.Implicits.DefaultCharset.","_root_.java.nio.charset.Charset#","Charset","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.akka.actor.Actor#self.","_root_.akka.actor.ActorRef#","ActorRef","val"
"_root_.akka.actor.Actor#context.","_root_.akka.actor.ActorContext#","ActorContext","val"
