id,symbol,code
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:40:55","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpList(SexpString('boo')))"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:23:42","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(empty,SexpList(SexpNil))"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:24:61","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(list,SexpList(SexpList(SexpString('boo'))))"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:45:59","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(Nil)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:42:60","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(None)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:25:60","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(None)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:22:31","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(none,SexpNil)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:39:36","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpNil)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:26:59","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(Nil)"
"s-express/src/test/scala/org/ensime/sexp/formats/DefaultSexpProtocolSpec.scala:38:35","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpNil)"
"s-express/src/test/scala/org/ensime/sexp/SexpPrettyPrinterSpec.scala:12:64","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(expect.replace('\r',''))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:18:37","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(-1L,SexpNumber(-1))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:42:62","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Double.MaxValue,SexpNumber(Double.MaxValue))"
"s-express/src/test/scala/org/ensime/sexp/formats/BasicFormatsSpec.scala:13:56","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(Int.MinValue,SexpNumber(Int.MinValue))"
